date last year chicago cubs world series	time expression exception situation theme occasion city large city place market big city event award popular event sporting event top event	num
perth	city area metropolitan area place town	loc
date year wwii begin	event war u s war topic military transport	num
dist diameter golf ball	None	num
def eclipse	def eclipse desc	desc
ind discovered america	manufacturer company city vcrs undecided voter america	hum
dist earth diameter	None	num
ind president unmarried	manufacturer company city vcrs undecided voter	hum
dist wide milky way galaxy	None	num
date season thunderstorms occur	None	num
def wimbledon	def wimbledon desc	desc
period gestation period cat	None	num
dist far nautical mile	None	num
ind abolitionist led raid harper ferry 1859	ind abolitionist 1859	hum
def target heart rate mean	None	desc
product first satellite go space	None	enty
def foreclosure	def foreclosure desc	desc
major fault line near kentucky	state school place jurisdiction team	enty
holland tunnel	holland	loc
ind wrote hymn amazing grace	manufacturer company city vcrs undecided voter hymn amazing grace	hum
title position willie davis play baseball	player guy	hum
def platelets	def platelets desc	desc
def severance pay	fluid word variable scheme emission extra	desc
animal name roy roger dog	roy roger dog enty	enty
national archives	national archives loc	loc
animal baby turkey called	None	enty
def poliomyelitis	def poliomyelitis desc	desc
body longest bone human body	None	enty
ind german philosopher	ind german	hum
veh christopher columbus three ships	veh christopher columbus plural reference ground feature group pattern print terrain object	enty
def phi beta kappa mean	def phi beta kappa	desc
def nicotine	def nicotine desc	desc
termeq another name vitamin b1	termeq vitamin b1 enty	enty
ind discovered radium	manufacturer company city vcrs undecided voter	hum
def sunspots	def sunspots desc	desc
date algeria colonized	None	num
gr baseball team first make numbers part uniform	gr baseball term ordinal term numerical ordinal circuit ordinal number	hum
continent egypt	continent egypt	loc
city capital mongolia	None	loc
def nanotechnology	def nanotechnology desc	desc
late 1700 british convicts used populate colony	feature improvement intuition place processor british	loc
state state geographic center lower 48 states	mobile platform lipoprotein gang organizational practice title	loc
def obtuse angle	def obtuse angle desc	desc
def polymers	def polymers desc	desc
date hurricane season caribbean	None	num
volcano mauna loa	volcano mauna loa loc	loc
termeq another astronomic term northern lights	termeq	enty
peninsula spain part	peninsula spain	loc
date lyndon b johnson born	date lyndon b johnson born	num
def acetaminophen	def acetaminophen desc	desc
state state least amount rain per year	None	loc
ind founded american red cross	manufacturer company city vcrs undecided voter organization agency charity local organization nonprofit organization	hum
date year milwaukee braves become atlanta braves	city place brand team metropolitan area team name team name controversial name sport team city market metropolitan area place southern city	num
speed fast alcohol absorbed	None	num
date summer solstice	None	num
def supernova	def supernova desc	desc
shawnee national forest	distant site local attraction impressive site natural area	loc
state u state motto live free die	state u state motto live free	loc
lourve	None	loc
date first stamp issued	term ordinal term numerical ordinal circuit ordinal number	num
color primary colors mix make orange	None	enty
dist far pluto sun	pluto sun	num
body water canary islands	None	loc
def neuropathy	def neuropathy desc	desc
euphrates river	None	loc
def cryptography	def cryptography desc	desc
substance natural gas composed	None	enty
ind prime minister canada	manufacturer company city vcrs undecided voter canada hum	hum
ind french ruler defeated battle waterloo	language romance language european language subject study	hum
def leukemia	def leukemia desc	desc
howard hughes die	person celebrity visitor historical character name	loc
substance birthstone june	substance birthstone june enty	enty
sales tax minnesota	state jurisdiction place team northern state	enty
dist distance miles earth sun	None	num
period average life span chicken	None	num
date first wal mart store opened	date first wal mart	num
def relative humidity	def relative humidity desc	desc
city city zip code 35824	city city zip code 35824	loc
currency currency used algeria	african country nation arab country north african country state	enty
ind invented hula hoop	manufacturer company city vcrs undecided voter hula hoop hum	hum
product popular toy 1957	spectacular accident sweeping plan event resident specialty vehicle	enty
substance pastrami made	substance pastrami	enty
product name satellite soviet union sent space 1957	soviet union spectacular accident sweeping plan event resident specialty vehicle	enty
city city newspaper called enquirer	None	loc
ind invented slinky	None	hum
animal animals backbones called	None	enty
melting point copper	None	num
volcano olympus mons located	volcano olympus mons	loc
ind 23rd president united states	ind 23rd developed country nation jurisdiction western country case	hum
temp average body temperature	None	num
desc defibrillator	desc defibrillator desc	desc
desc effect acid rain	descriptive field conflict resolution competency customer sponsor generic keyword	desc
date year united states abolish draft	developed country nation jurisdiction western country case	num
speed fast speed light	None	num
state province montreal	None	loc
new york city structure also known twin towers	city place area jurisdiction metropolitan area	loc
def fungus	def fungus desc	desc
lang frequently spoken language netherlands	study director literature author built in package european country member state nation state jurisdiction	enty
def sodium chloride	def sodium chloride desc	desc
termeq spots dominoes called	termeq	enty
count many pounds ton	pounds ton	num
def influenza	def influenza desc	desc
def ozone depletion	def ozone depletion desc	desc
date year mona lisa painted	painting film masterpiece work famous painting	num
def sitting shiva mean	def sitting shiva	desc
electrical output madrid spain	city large city european city region destination european country member state nation market place	enty
mount mountain range north america stretches maine georgia	mount mountain north america state jurisdiction place area rural state state southern state place case jurisdiction	loc
substance plastic made	None	enty
population nigeria	None	num
desc spleen	desc spleen desc	desc
grand canyon	national park place park popular national park classic vacation site	loc
ind invented telephone	None	hum
date year u buy alaska	state place area airline region	num
ind name leader ireland	ind name ireland hum	hum
def phenylalanine	def phenylalanine desc	desc
count many gallons water cubic foot	term obscure ambiguous unit size	num
two houses legislative branch	plural reference word age term step	enty
def sonar	def sonar desc	desc
poland people live	eastern european country european country member state state market	loc
def phosphorus	def phosphorus desc	desc
location sea tranquility	None	loc
speed fast sound	None	num
state french province cognac produced	language romance language european language subject study	loc
def valentine day	def valentine day	desc
reason causes gray hair	None	desc
def hypertension	def hypertension desc	desc
def bandwidth	def bandwidth desc	desc
longest suspension bridge u	None	loc
def parasite	def parasite desc	desc
def home equity	def home equity desc	desc
desc meteorologists	descriptive field conflict resolution competency customer sponsor generic keyword	desc
criterion legally blind	None	enty
ind tallest man world	ind tallest man	hum
city twin cities	None	loc
edward binney howard smith invent 1903	edward binney company judge youngster treasure artifact rare plane service rifle	enty
substance statue liberty made	substance statue liberty	enty
def pilates	def pilates desc	desc
planet known red planet	None	loc
dist depth nile river	beautiful landform location case egyptian deity wave dominated delta	num
termeq colorful korean traditional dress called	termeq language asian language east asian language agglutinative language culture	enty
def mardi gras	def mardi gras desc	desc
money mexican pesos worth u dollars	mexican pesos	num
ind first african american play brooklyn dodgers	ind first african american city area place hamlet market	hum
ind first prime minister canada	ind first canada hum	hum
count many admirals u navy	dark color neutral color bean classic color agency	num
instru instrument glenn miller play	artist swing band big band band big name band	enty
period old joan arc died	period old joan arc	num
def word fortnight mean	def word fortnight	desc
def dianetics	def dianetics desc	desc
city capital ethiopia	african country nation place poor country state	loc
period long elephant pregnant	None	num
manner janice joplin die	janice joplin die	desc
lang primary language iceland	study director literature author built in package place european country nation small country area	enty
desc difference radio stations fm radio stations	descriptive field conflict resolution competency customer sponsor generic keyword	desc
def osteoporosis	def osteoporosis desc	desc
ind first woman governor u	ind first woman u hum	hum
def peyote	def peyote desc	desc
reason esophagus used	reason esophagus	desc
def viscosity	def viscosity desc	desc
date year oklahoma become state	state school place team area	num
abb abbreviation texas	abb abbreviation texas abbr	abbr
substance mirror made	substance mirror	enty
body mortarboard worn	body mortarboard	loc
ind j f k wife name	ind j f k	hum
exp v stand	exp v stand abbr	abbr
def chunnel	def chunnel desc	desc
hitler buried	hitler	loc
def antacids	def antacids desc	desc
def pulmonary fibrosis	def pulmonary fibrosis desc	desc
def quaaludes	def quaaludes desc	desc
def naproxen	def naproxen desc	desc
def strep throat	def strep throat desc	desc
city largest city u	None	loc
dismed foot mouth disease	area extremity body part symptom animal disease	enty
life expectancy dollar bill	None	num
termeq call professional map drawer	termeq	enty
def aborigines	def aborigines desc	desc
def hybridization	def hybridization desc	desc
color color indigo	None	enty
period old order rent car italy	european country member state nation place market	num
barometer measure	None	enty
color color giraffe tongue	color color giraffe tongue enty	enty
exp usps stand	None	abbr
date year nfl go strike	None	num
def solar wind	None	desc
date date neil armstrong land moon	person luminary astronaut household name name	num
date hiroshima bombed	hiroshima bombed	num
savannah river	site large site doe site place river	loc
ind first woman killed vietnam war	ind first woman asian country market nation place southeast asian country	hum
planet strongest magnetic field planets	None	loc
ind governor alaska	manufacturer company city vcrs undecided voter state place area airline region	hum
date year mussolini seize power italy	mussolini seize power italy	num
city capital persia	persia	loc
eiffel tower	landmark attraction famous landmark famous site sight	loc
count many hearts octopus	None	num
def pneumonia	def pneumonia desc	desc
deepest lake us	None	loc
def fuel cell	None	desc
ind first u president appear tv	ind first u	hum
little league museum	sight	loc
two types twins	plural reference word age term step	enty
brightest star	topic object secondary distance indicator star category	loc
def diabetes	None	desc
date president kennedy shot	scholar president author study name	num
exp tmj	exp tmj abbr	abbr
color color yak milk	None	enty
date date dwight eisenhower born	president historic figure leader republican president american war planner	num
exp technical term isdn mean	exp technical term	abbr
reason sun yellow	reason sun yellow desc	desc
money conversion rate dollars pounds	None	num
date abraham lincoln born	president person historical figure leader whig	num
def milky way	def milky way desc	desc
def mold	def mold desc	desc
date year mozart born	composer classical music person individual musician	num
animal group frogs called	independent trait macroscopic system factor community share group	enty
veh name william penn ship	veh author quaker exception friend historical figure	enty
melting point gold	None	num
street address white house	attraction government building landmark building venue	loc
def semolina	def semolina desc	desc
food fruit melba sauce made	None	enty
def ursa major	None	desc
perc percentage water content human body	perc percentage water content human body	num
weight much water weigh	None	num
event president lyndon johnson reform program called	president towering figure leader dealer political figure	enty
perc murder rate windsor ontario	windsor ontario	num
ind president serve 2 non consecutive terms	manufacturer company city vcrs undecided voter feature compound growth regulator herbicide product method	hum
population australia	None	num
ind painted ceiling sistine chapel	manufacturer company city vcrs undecided voter	hum
dismed name stimulant	None	enty
desc effect volcanoes climate	descriptive field conflict resolution competency customer sponsor generic keyword	desc
date year andy griffith show begin	show tv show comedy show television comedy t v show	num
def acid rain	def acid rain desc	desc
date date mexico independence	latin american country place market nation economy	num
location lake champlain	None	loc
plant illinois state flower	None	enty
animal maryland state bird	animal maryland state bird	enty
def quicksilver	def quicksilver desc	desc
ind wrote divine comedy	manufacturer company city vcrs undecided voter	hum
speed speed light	None	num
dist width football field	None	num
reason tennis zero points called love	feature method topic object bogus information	desc
animal kind dog toto wizard oz	None	enty
def thyroid	def thyroid desc	desc
def ciao mean	def ciao	desc
body artery carries blue blood heart lungs	None	enty
often old faithful erupt yellowstone national park	None	num
def acetic acid	def acetic acid desc	desc
dist elevation st louis mo	chemical company city large metropolitan area location company	num
color color litmus paper turn comes contact strong acid	None	enty
color colors german flag	german	enty
def moulin rouge	None	desc
soviet seaport black sea	soviet area enclosed sea region anoxic basin sea	loc
weight atomic weight silver	None	num
currency currency use brazil	market economy nation latin american country emerging economy	enty
def pathogens	def pathogens desc	desc
def mad cow disease	def mad cow disease desc	desc
food name food high zinc	None	enty
date north carolina enter union	state southern state place jurisdiction area	num
apple snails live	fruit company food brand fresh fruit	loc
def ethics	def ethics desc	desc
exp cpr stand	exp cpr	abbr
def annuity	def annuity desc	desc
ind killed john f kennedy	ind killed john f kennedy hum	hum
ind first vice president u	manufacturer company city vcrs undecided voter u hum	hum
substance birthstone turquoise	None	enty
ind first us president ride automobile inauguration	ind first time related suffix unit time-related suffix unit first or second person pronoun pronoun time related suffix uni ts	hum
period old youngest president united states	developed country nation jurisdiction western country case	num
date ulysses grant born	None	num
def muscular dystrophy	def muscular dystrophy desc	desc
ind lived neuschwanstein castle	ind lived neuschwanstein castle hum	hum
def propylene glycol	def propylene glycol desc	desc
def panic disorder	def panic disorder desc	desc
ind invented instant polaroid camera	company name organization brand firm	hum
def carcinogen	def carcinogen desc	desc
animal baby lion called	None	enty
world population	None	num
def nepotism	def nepotism desc	desc
def die casting	def die	desc
def myopia	def myopia desc	desc
sales tax rate new york	state city large city place big city	num
perc developing nations comprise percentage world population	None	num
mount fourth highest mountain world	mount fourth	loc
ind shakespeare nickname	ind shakespeare	hum
substance heaviest naturally occurring element	None	enty
date father day	None	num
exp acronym nasa stand	function mathematical function built in function elementary function claim organization agency government agency federal agency client	abbr
dist long columbia river miles	long columbia river miles	num
city city newspaper called star	None	loc
def carbon dioxide	def carbon dioxide desc	desc
mason dixon line	song title subject sweet tea line number	loc
date boston tea party	date boston tea party	num
def metabolism	def metabolism desc	desc
ind u president appeared laugh	ind u	hum
substance cigarettes made	factor term circumstantial evidence topic concept	enty
city capital zimbabwe	city capital zimbabwe	loc
exp nasa stand	exp nasa	abbr
plant state flower michigan	state school jurisdiction place university	enty
def semiconductors	def semiconductors desc	desc
def nuclear power	def nuclear power desc	desc
def tsunami	def tsunami desc	desc
ind congressman state texas armed forces committee	ind congressman state texas armed forces committee	hum
ind president 1913	manufacturer company city vcrs undecided voter anniversary celebrated struggle item antique car publicly available dictionary	hum
date first kidney transplant	None	num
canada two territories	developed country nation jurisdiction place state plural reference word age term step	loc
veh name plane lindbergh flew solo across atlantic	veh plane lindbergh flew publication magazine label area specie	enty
def genocide	def genocide desc	desc
continent argentina	continent argentina	loc
monastery raided vikings late eighth century	late eighth century	enty
def earthquake	def earthquake desc	desc
tallest roller coaster located	None	loc
def enzymes	def enzymes desc	desc
ind discovered oxygen	manufacturer company city vcrs undecided voter	hum
def bangers mash	def bangers mash desc	desc
animal name given tiger louisiana state university	tiger louisiana state university	enty
british crown jewels kept	british	loc
ind first person reach north pole	ind first person place real world location pole loose leaf variety colorado spring attraction	hum
def ulcer	def ulcer desc	desc
def vertigo	def vertigo desc	desc
def spirometer test	def spirometer test desc	desc
date official first day summer	None	num
exp abbreviation sos mean	None	abbr
animal smallest bird britain	britain	enty
ind invented trivial pursuit	None	hum
substance gasses troposphere	None	enty
country country water pollution	None	loc
animal scientific name elephant	None	enty
ind actress known role movie gypsy	ind actress known role movie	hum
animal breed hunting dog beverly hillbillies	None	enty
rainiest place earth	None	loc
ind first african american win nobel prize literature	ind first african american coveted award award accolade research prize well known award	hum
date st patrick day	None	num
animal fdr dog name	animal fdr dog name	enty
color colors need mixed get color pink	None	enty
sport popular sport japan	asian country nation developed country market economy	enty
food active ingredient baking soda	None	enty
date thomas jefferson born	man founding father person father leader	num
temp cold refrigerator	None	num
date telephone invented	None	num
color common eye color	None	enty
first golf course united states	term ordinal term numerical ordinal circuit ordinal number developed country nation jurisdiction western country case	loc
def schizophrenia	def schizophrenia desc	desc
def angiotensin	def angiotensin desc	desc
gr jesse jackson organize	gr jesse jackson	hum
animal new york state bird	state city large city place big city	enty
national park utah	national park utah	loc
date susan b anthony birthday	susan b anthony birthday	num
state state would find catskill mountains	None	loc
termeq call word spelled backwards forwards	termeq	enty
def pediatricians	def pediatricians desc	desc
gr chain store headquartered bentonville arkansas	gr chain community unfamiliar location	hum
def solar cells	def solar cells desc	desc
def compounded interest	fluid word variable scheme emission extra	desc
def capers	fluid word variable scheme emission extra	desc
def antigen	def antigen desc	desc
currency currency luxembourg use	None	enty
population venezuela	None	num
type polymer used bulletproof vests	None	enty
currency currency argentina use	latin american country nation south american country case market	enty
def thermometer	def thermometer desc	desc
city canadian city largest population	canadian	loc
color color crickets	None	enty
country country gave new york statue liberty	new york statue liberty	loc
product name first u satellite sent space	term ordinal term numerical ordinal circuit ordinal number	enty
substance precious stone form pure carbon	None	enty
substance kind gas fluorescent bulb	None	enty
def rheumatoid arthritis	def rheumatoid arthritis	desc
river runs rowe italy	rowe italy	loc
def cerebral palsy	def cerebral palsy	desc
city city also known gateway west	city city project apartment complex long linear project	loc
dist far away moon	None	num
source natural gas	None	enty
veh spacecraft u astronaut alan shepard make historic 1961 flight	veh spacecraft u astronaut name famous astronaut navy test pilot well known person taxation statute warning extremely rare bottle civil right protest	enty
def pectin	def pectin desc	desc
def bio diversity	def bio diversity desc	desc
techmeth easiest way remove wallpaper	None	enty
date year titanic start journey	None	num
count much apple water	None	num
ind 22nd president us	ind 22nd	hum
currency money use zambia	african country case southern african country state nation	enty
count many feet mile	unit treatment item health concern chapter title	num
substance birthstone october	substance birthstone month natural disaster handpainted pattern event natural catastrophe	enty
def e coli	def e coli desc	desc
manner serfdom develop leave russia	serfdom develop market nation economy state emerging market	desc
cremat films featured character popeye doyle	None	enty
manner find list celebrities real names	None	desc
animal fowl grabs spotlight chinese year monkey	educational information	enty
exp full form com	None	abbr
ind contemptible scoundrel stole cork lunch	ind contemptible scoundrel stole	hum
gr team baseball st louis browns become	gr team baseball st louis	hum
title oldest profession	None	hum
def liver enzymes	def liver enzymes desc	desc
ind name scar faced bounty hunter old west	None	hum
date ozzy osbourne born	band artist musician rocker pop icon	num
reason heavier objects travel downhill faster	None	desc
ind pride yankees	ind pride yankees hum	hum
ind killed gandhi	ind killed gandhi hum	hum
event considered costliest disaster insurance industry ever faced	None	enty
state sprawling u state boasts airports	None	loc
desc repealed amendment u constitution deal	descriptive field conflict resolution competency customer sponsor generic keyword amendment u constitution	desc
count many jews executed concentration camps wwii	jews camps wwii	num
def nine inch nails	nine inch	desc
def annotated bibliography	fluid word variable scheme emission extra	desc
date date boxing day	None	num
articles clothing tokens monopoly	None	enty
ind name 11 famous martyrs	factor therapy closely packed skyscraper functional agent feature	hum
desc olympic motto	desc olympic motto desc	desc
desc origin name scarlett	descriptive field conflict resolution competency customer sponsor generic keyword scarlett desc	desc
letter second used vowel english	language subject course education requirement class	enty
ind inventor silly putty	ind inventor silly	hum
highest waterfall united states	developed country nation jurisdiction western country case	loc
name golf course myrtle beach	myrtle beach enty	enty
state two states enclose chesapeake bay	plural reference word age term step estuary area place region system	loc
exp abbreviation aids stand	None	abbr
spermologer collect	None	enty
count many points make perfect fivepin bowling score	None	num
gr company manufactures video game hardware sells super system	gr company	hum
count many community chest cards monopoly	None	num
desc mormons believe	desc mormons believe desc	desc
date neanderthal man live	neanderthal	num
religion religion isis nature goddess	None	enty
adventures swiss family robinson take place	cheese hard cheese aged cheese firm cheese natural cheese	loc
animal relative racoon sometimes known cat bear	None	enty
manner register website yahoo free	manner register yahoo free desc	desc
cash conscious colonel edwin l drake first drill	top brand brand recognisable brand name high quality brand term ordinal term numerical ordinal circuit ordinal number	enty
count many people world speak french	language romance language european language subject study	num
count many inches six feet venus de milo	many inches six feet	num
manner find choose witnesses execution	None	desc
ind 1920s cowboy star rode tony wonder horse	ind 1920s cowboy star	hum
food cocktail inspired john doxat write book stirred shaken	john doxat	enty
gr isps exist caribbean	composition type antioxidant enzyme unliganded steroid hormone receptor transcription factor nuclear receptor region area destination place part of the world	hum
manner ask total stranger date	None	desc
weapon mythological character apollo proficient	None	enty
country country galapagos islands belong	None	loc
def ethology	def ethology desc	desc
ind prophet muslim people	ind prophet muslim	hum
desc term 86ed come	descriptive field conflict resolution competency customer sponsor generic keyword 86ed	desc
ind snoopy arch enemy	None	hum
def nature learning	def nature learning desc	desc
color color johnny cash wears stage	name character student boy friend	enty
termeq term young fox	termeq fox enty	enty
state u state lived six flags	card competition score pair middle card	loc
def kashmir issue	def kashmir	desc
loop	None	loc
def extended definition mean would one write paper	program word function strategy relative or positional term	desc
country country capital tirana	None	loc
def titanium	def titanium desc	desc
ind herb tootsie live next door	ind herb	hum
city city oldest relationship sister ity los angeles	city city city large city area place market	loc
def caldera	def caldera desc	desc
reason people get calluses	None	desc
names tourist attractions reims	None	loc
reason cushman wakefield known	reason cushman wakefield	desc
body water danube river flow	None	loc
ind founder scientology	manufacturer company city vcrs undecided voter	hum
six footed musca domestica become enters house	card competition score pair middle card	enty
desc history skateboarding	descriptive field conflict resolution competency customer sponsor generic keyword	desc
ind starred singing rain singing nun	manufacturer company city vcrs undecided voter nun hum	hum
manner make fuel bricks recycled newspaper	None	desc
ind 19th century painter died marquesas islands	ind 19th century destination island society hotspot volcanic archipelago area	hum
body corpus callosum part body	None	enty
manner log home page headquarters u european command	u european command	desc
country country nazis occupy 1 cd nns nnp nnp nnp	nns nnp	loc
nebraska valuable resource	state school midwestern state area jurisdiction	enty
count many species great white shark	None	num
desc origin head lice	descriptive field conflict resolution competency customer sponsor generic keyword	desc
state nickname state mississippi	state river southern state large river place	loc
animal first domesticated bird	None	enty
count many villi found small intestine	complex organ extraordinary character	num
country country king wenceslas rule	None	loc
dismed fear shadows	None	enty
ind five marx brothers	sport discipline group physical activity image	hum
date year new zealand excluded anzus alliance	jurisdiction nation place developed country area	num
date cnn begin broadcasting	medium outlet network news outlet channel news organization	num
reason causes body shiver cold temperatures	None	desc
def bear bull markets	def bear bull markets desc	desc
cremat j r r tolkien book features bilbo baggins central character	None	enty
def dew point	def dew point desc	desc
def meaning jesus	def meaning jesus desc	desc
gr company logo w circle	gr company	hum
def definition cascade	None	desc
date rococo painting architecture flourish	None	num
country country national passenger rail system called via	None	loc
ind invented make	None	hum
desc origin word attic	descriptive field conflict resolution competency customer sponsor generic keyword	desc
desc delilah samson hair	desc delilah samson hair desc	desc
animal kind animals paleozoic era	None	enty
ind following rhodes scholar	None	hum
ind comprised defunct comic book team known champions	ind comprised	hum
manner make paintball	None	desc
state u state fort knox	state u state federal military property nickname place competitor post	loc
animal female rabbit called	None	enty
mount highest point japan	asian country nation developed country market economy	loc
desc chihuahuas come	descriptive field conflict resolution competency customer sponsor generic keyword	desc
barney rubble go work drops fred flintstones cartoon series	character author family gathering show event	loc
world four oceans	smallest flight unit national championship event exercise plastic heavy load	loc
cremat work michelangelo bears signature	None	enty
animal largest snake world	None	enty
cremat medium stuart hamblen considered first singing cowboy	None	enty
internet find song lyrics database similar international lyrics server	None	loc
money much money back injury lawsuit get	None	num
termeq common name acetylsalicylic acid	termeq	enty
def georgetown hoya mean	def georgetown hoya	desc
find list classic books 5th 6th graders read	harmonic odd harmonic problem unit oil bearing zone	loc
product two products use tiger symbol	plural reference word age term step	enty
manner election new pope announced world	None	desc
period long take blood make one complete trip body	None	num
manner chickens baby chicks	manner chickens baby chicks desc	desc
desc historical relationship catholic church bingo	desc historical relationship catholic church	desc
manner element calcium named	descriptive field conflict resolution competency customer sponsor generic keyword	desc
ind crooner joined andrews sisters pistol packin mama	ind crooner	hum
gr piano company claims product instrument immortals	gr piano company	hum
date bounty mutiny take place	None	num
cremat novel inspired movie bladerunner	None	enty
def transistor	def transistor desc	desc
cremat film starring jude law	None	enty
animal hollywood dog died arms jean harlow 1932	animal hollywood dog film inflation	enty
substance common elements earth crust	None	enty
money much would cost purchase 2 foot square party tent sides	full foot increment common distance resolution distance low height	num
ind actress received oscar nominations	ind actress player health insurance company animated series aggresive fish name	hum
def equity securities	def equity securities desc	desc
def gymnophobia	def gymnophobia desc	desc
count many years fossils take form	artist star act complementary table calendar unit	num
orinoco	None	loc
animal name little rascals dog	None	enty
city city boasts penn landing banks delaware river	state jurisdiction u s state small state area	loc
cremat broadway musical inspired cervantes quixote	None	enty
desc origin word jj	descriptive field conflict resolution competency customer sponsor generic keyword word jj desc	desc
count many hostages killed entebbe raid	None	num
manner raise iq	None	desc
exp inri stand used jesus cross	exp inri jesus cross	abbr
gr produces spumante	composition type antioxidant enzyme unliganded steroid hormone receptor transcription factor nuclear receptor	hum
ind earns money hard way	ind earns	hum
